date,spot,futures,spread,r_s,r_f,h_theoretical,h_actual,h_final,sigma_s,sigma_f,cov_sf,rolling_corr
2025-12-05,3740,3723.0,17.0,-0.01933066944898614,-0.027290076127481338,0.6542501661002847,0.5789824478763582,0.5789824478763582,0.013235224634412733,0.01728958221844009,0.00019557477531610522,0.854667174201753
2025-12-08,3690,3701.0,-11.0,-0.0134591533740048,-0.0059267414865609115,0.7104818882403381,0.6287450338410072,0.6287450338410072,0.014411136871218599,0.017335734845069905,0.00021351948962497304,0.854667174201753
2025-12-09,3646,3691.0,-45.0,-0.011995781795964522,-0.0027056293561574197,0.653244001077658,0.5780920363519098,0.5780920363519098,0.013285327913376967,0.01738176492602759,0.0001973618350282874,0.854667174201753
2025-12-10,3668,3682.0,-14.0,0.006015878137747072,-0.0024413412369754485,0.6404717665328677,0.5667891739228919,0.5667891739228919,0.013059976007938496,0.01742767343246297,0.0001945265195365623,0.854667174201753
2025-12-11,3613,3599.0,14.0,-0.015108102228715274,-0.022800053713992446,0.613717863368589,0.5431131534235302,0.5431131534235302,0.012547311599505607,0.01747346132263028,0.00018738147378595958,0.854667174201753
2025-12-12,3602,3627.0,-25.0,-0.003049205411738892,0.0077498312038716665,0.6618693640619149,0.5857251009397477,0.5857251009397477,0.013567123529639957,0.0175191295423651,0.00020314087897943292,0.854667174201753
2025-12-15,3640,3666.6,-26.59999999999991,0.010494434894884946,0.010858941846022388,0.5963019795125103,0.5277008668252304,0.5277008668252304,0.012254890778771076,0.01756467902488936,0.00018396986385135782,0.854667174201753
2025-12-16,3636,3735.2,-99.19999999999982,-0.0010995053334168876,0.018536562527802447,0.6353602676437323,0.5622657235785242,0.5622657235785242,0.013091370512442902,0.017610110691673973,0.00019703538385395096,0.854667174201753
2025-12-17,3668,3726.8,-58.80000000000018,0.008762378078986048,-0.0022514080804572592,0.5916333059809965,0.5235692973283156,0.5235692973283156,0.012221760755672202,0.017655425452257678,0.00018442041267993075,0.854667174201753
2025-12-18,3654,3748.6,-94.59999999999991,-0.0038240964384033942,0.005832480348614584,0.6205579718805699,0.5491663467969646,0.5491663467969646,0.012852094697045773,0.017700624204391707,0.0001944283196196545,0.854667174201753
2025-12-19,3625,3738.0,-113.0,-0.007968169649176845,-0.0028317279093764804,0.591559702236477,0.5235041612712187,0.5235041612712187,0.012282729417333695,0.01774570783457606,0.00018628815252444273,0.854667174201753
2025-12-22,3615,3735.0,-120.0,-0.0027624326959100726,-0.0008028904485905129,0.6038598048389759,0.5343892078221026,0.5343892078221026,0.012569892932705565,0.017790677217998933,0.0001911265773910297,0.854667174201753
2025-12-23,3522,3623.0,-101.0,-0.026062845536713633,-0.030445406671840397,0.586853751572957,0.519339603161909,0.519339603161909,0.012246696605082737,0.017835533218826218,0.000186681843394321,0.854667174201753
2025-12-24,3598,3818.0,-220.0,0.02134912545432698,0.05242431339061571,0.7676727495531306,0.6793564155337439,0.6793564155337439,0.01606028824336824,0.017880276690575923,0.00024542827482698095,0.854667174201753
2025-12-25,3635,3818.0,-183.0,0.010230975457141292,0.0,0.7288018562278735,0.6449573948919235,0.6449573948919235,0.015285139016000038,0.017924908476085306,0.00023416574462722077,0.854667174201753
2025-12-26,3670,3846.0,-176.0,0.009582551080996156,0.0073069218630320825,0.620817461333464,0.5493959834809417,0.5493959834809417,0.013052724946727202,0.0179694294066576,0.00020046220237052956,0.854667174201753
2025-12-29,3683,3817.0,-134.0,0.003535975396449452,-0.007568873403495359,0.6149359013635738,0.5441910631536052,0.5441910631536052,0.012961018580342386,0.0180138403047772,0.0001995457422458112,0.854667174201753
2025-12-30,3702,3847.0,-145.0,0.005145576688377528,0.007828850007065362,0.5847722529056448,0.5174975689430485,0.5174975689430485,0.012355570319073186,0.018058141982255117,0.00019069218020450305,0.854667174201753
2025-12-31,3678,3803.0,-125.0,-0.006504087969176377,-0.01150339482403548,0.5887832246688289,0.5210471014768399,0.5210471014768399,0.01247076246630142,0.01810233524097105,0.00019294104866027342,0.854667174201753
2026-01-05,3640,3732.0,-92.0,-0.010385444533480016,-0.018845945961025196,0.5860112291395141,0.5185940080880657,0.5185940080880657,0.012442277791046046,0.018146420873062948,0.00019296915570680783,0.854667174201753
2026-01-06,3680,3838.0,-158.0,0.01092907053219023,0.02800711460041068,0.6032995957925149,0.5338934476039956,0.5338934476039956,0.012840391083328651,0.018190399661080034,0.0001996261892608574,0.854667174201753
2026-01-07,3713,3879.0,-166.0,0.008927423014103403,0.010625990872321878,0.6166808060225133,0.5457352265685959,0.5457352265685959,0.013156847632398494,0.018234272378139384,0.00020503939282466674,0.854667174201753
2026-01-08,3698,3846.0,-148.0,-0.004048042230009918,-0.008543741291242125,0.6019489469820692,0.5326981831699729,0.5326981831699729,0.01287337005011449,0.018278039787836972,0.00020110316043217203,0.854667174201753
2026-01-09,3709,3866.0,-157.0,0.002970165542520544,0.005186733619551272,0.5734096332360081,0.5074421533062019,0.5074421533062019,0.012292318122233425,0.018321702644981844,0.00019248489106168996,0.854667174201753
2026-01-12,3726,3880.0,-154.0,0.004572973671942998,0.003614772849042951,0.5734941814562687,0.5075169747400609,0.5075169747400609,0.01232335936266857,0.01836526169527981,0.00019342974460262246,0.854667174201753
2026-01-13,3682,3815.0,-133.0,-0.011879189368510653,-0.016894488898761797,0.5768975145700936,0.5105287739558352,0.5105287739558352,0.012425823518273631,0.01840871767562846,0.0001954995411346585,0.854667174201753
2026-01-14,3718,3867.0,-149.0,0.00972980648836618,0.013538347888739637,0.6041314103170307,0.5346295666522396,0.5346295666522396,0.013043060740912644,0.018452071314298588,0.0002056940196608225,0.854667174201753
2026-01-15,3677,3817.0,-140.0,-0.011088686980117274,-0.013014238862067299,0.5998700254138123,0.5308584295697455,0.5308584295697455,0.012981415937610812,0.018495323330886288,0.00020520172975383146,0.854667174201753
2026-01-16,3695,3796.0,-101.0,0.004883352081030047,-0.005516893015411258,0.596219947918011,0.5276282724938152,0.5276282724938152,0.012932529289487668,0.01853847443669862,0.0002049059111346139,0.854667174201753
2026-01-19,3638,3755.0,-117.0,-0.015546474304234554,-0.0108595955315834,0.5726280257190113,0.5067504652380631,0.5067504652380631,0.012449644128676933,0.01858152533472918,0.00019771304429037117,0.854667174201753
2026-01-20,3595,3674.0,-79.0,-0.011890088922920485,-0.021807298423164187,0.5883158962769891,0.520633536528309,0.520633536528309,0.013646789751816766,0.018624476719921502,0.00020406980155698642,0.8029049991564386
2026-01-21,3581,3689.0,-108.0,-0.003901900156714359,0.004074431821604627,0.5625505408959661,0.49783233707607627,0.49783233707607627,0.01304463543511141,0.01866732927923177,0.0001960315270555319,0.8050294878191243
2026-01-22,3678,3847.0,-169.0,0.02672703516583379,0.04193820515561955,0.5579072577763566,0.49372323697022713,0.49372323697022713,0.012285982514215673,0.018710083691532896,0.00019530504929974755,0.8496261062581884
2026-01-23,3792,3997.0,-205.0,0.030524458210646015,0.038250455959028325,0.7804828653465782,0.6906928011916622,0.6906928011916622,0.016715155231969512,0.018752740628545695,0.0002744687262214055,0.8756240989539398
2026-01-26,3885,3994.0,-109.0,0.024229399426835413,-0.0007508447355630194,0.7666492926221459,0.6784507014355274,0.6784507014355274,0.017823112389286907,0.01879530075355871,0.0002708290823733253,0.8084673267278197
2026-01-27,3827,3938.0,-111.0,-0.015041777376045576,-0.014120254776689621,0.6981779578937936,0.617856599906012,0.617856599906012,0.016028552398942984,0.018837764722533627,0.0002477563934433171,0.8205427276220902
2026-01-28,3843,3970.0,-127.0,0.0041721051391416025,0.008093114482165318,0.588412465415504,0.5207189959429239,0.5207189959429239,0.013555240413939075,0.01888013318458985,0.0002097451714784171,0.8195579993619075
2026-01-29,3837,3957.0,-120.0,-0.001562500317891557,-0.003279932295811843,0.5489907462336375,0.4858325187908297,0.4858325187908297,0.012396955675552641,0.018922406781196794,0.00019657024225755288,0.8379659080197992
2026-01-30,3814,3913.0,-99.0,-0.006012304086587977,-0.011181819175011857,0.5472164251675287,0.48426232315710505,0.48426232315710505,0.012224825958883268,0.01896458614676247,0.00019680941216957128,0.8489064033236345
2026-02-02,3712,3767.0,-55.0,-0.027107692254273227,-0.03802541451837142,0.5705447078549296,0.5049068211105572,0.5049068211105572,0.012405744111420642,0.01900667190866766,0.00020611131657596686,0.8741237908850814
2026-02-03,3657,3767.0,-110.0,-0.014927675756710015,0.0,0.7376741388049284,0.652808972393742,0.652808972393742,0.016343828293328498,0.019048664687563225,0.00026766626100325737,0.8597561762514304
2026-02-04,3682,3788.0,-106.0,0.006812943643641967,0.005559246613927841,0.6098358086419583,0.539677706762795,0.539677706762795,0.013534902912697282,0.019090565096508097,0.00022225446269225638,0.8601546888185903
2026-02-05,3642,3745.0,-103.0,-0.0109231015054699,-0.011416558354649007,0.5599221533312402,0.4955063303816285,0.4955063303816285,0.012626008993128246,0.019132373742664622,0.0002049582304202409,0.8484581240328001
2026-02-06,3630,3743.0,-113.0,-0.003300333028656854,-0.0005341880468908926,0.5733855354083519,0.5074208277950017,0.5074208277950017,0.012910304387053475,0.019174091226308504,0.00021080276916904557,0.8515791908663654
2026-02-09,3635,3739.0,-104.0,0.0013764627087232354,-0.0010692329273152864,0.5481940520931727,0.4851274797284715,0.4851274797284715,0.012263003214066847,0.01921571814113639,0.00020241726791329594,0.8590018454522135
2026-02-10,3625,3733.0,-108.0,-0.00275482267884462,-0.0016059960625298372,0.5460475668971967,0.4832279353072538,0.4832279353072538,0.012256193403204043,0.01925725507450124,0.0002024973024576539,0.8579643721843637
2026-02-11,3663,3764.0,-101.0,0.010428195490039267,0.008270021790686434,0.55003434613589,0.48675605852733633,0.48675605852733633,0.012246494714604133,0.019298702607409176,0.00020485474915325514,0.8667744948502539
2026-02-12,3630,3723.0,-93.0,-0.009049835519917927,-0.010952426832553352,0.5869012938260469,0.5193816759522539,0.5193816759522539,0.013081579593594685,0.01934006131465113,0.0002195233695040759,0.8676862703798882
2026-02-13,3575,3678.0,-103.0,-0.01526747213078842,-0.01216066870845055,0.5676350187012972,0.5023318749569002,0.5023318749569002,0.012681916159373164,0.019381331764875744,0.00021322415979396618,0.8674968735446257
2026-02-24,3648,3737.0,-89.0,0.020213896066113922,0.01591402432121757,0.6077806525854967,0.5378589845889352,0.5378589845889352,0.013595860692293791,0.01942251452068207,0.00022927556942812816,0.8682516552205013
2026-02-25,3658,3747.0,-89.0,0.0027374777565890756,0.002672369308203552,0.6751050378813864,0.597438086620696,0.597438086620696,0.015007975398068496,0.0194636101387345,0.000255751472475285,0.8755332355961875
2026-02-26,3612,3700.0,-88.0,-0.012654914413935013,-0.012622700161371592,0.5527360229064197,0.4891469229260351,0.4891469229260351,0.012311377858381828,0.019504619169762663,0.00021027745858317095,0.8756863571415018
2026-02-27,3620,3703.0,-83.0,0.002212390282940642,0.000810482281296977,0.5897168189653442,0.5218732911197737,0.5218732911197737,0.01315851483116557,0.019545542158852503,0.00022528846564113232,0.8759601744394228
2026-03-02,3750,3925.0,-175.0,0.03528181414463983,0.05822304930289618,0.5619294508782118,0.49728269989222285,0.49728269989222285,0.012287064641186965,0.019586379645260287,0.0002155708978995711,0.8957520677363402
